horizon_days,direction,mean_ic,ic_t_stat,annualised_spread_return,annualised_spread_volatility,spread_sharpe,spread_t_stat,positive_spread_day_pct,ic_observations,spread_observations
1,reversal,0.016603573967643278,3.3474990285653616,0.042612724768312495,0.12944436850798247,0.32919720849566886,0.8499835374144641,0.5190476190476191,1680,1680
1,momentum,-0.016603573967643278,-3.3474990285653616,-0.04518270013075317,0.12906321688848174,-0.35008193054566195,-0.9039076578743269,0.4797619047619048,1680,1680
2,reversal,0.01449303853284647,2.8327460904680564,0.03665751258617847,0.12739309142587618,0.2877511816055401,0.7429703561398421,0.5232142857142857,1680,1680
2,momentum,-0.01449303853284647,-2.8327460904680564,-0.041288807633405256,0.1271659141627523,-0.3246845501425964,-0.8383319036487484,0.47619047619047616,1680,1680
5,reversal,0.012671125182045695,2.45070256663084,0.03287843842298099,0.12621281042739788,0.2605000103527038,0.6726081345219211,0.4976190476190476,1680,1680
5,momentum,-0.012671125182045695,-2.45070256663084,-0.03140638200442773,0.1259517914681077,-0.24935240410915596,-0.6438251389676953,0.5053571428571428,1680,1680
10,reversal,0.014977215501294364,2.9082765604003686,0.07146802323739486,0.12637973025948132,0.5655022612459892,1.460120560032235,0.5059523809523809,1680,1680
10,momentum,-0.014977215501294364,-2.9082765604003686,-0.07906043100733835,0.1267485930454714,-0.623757858826687,-1.6105358662011706,0.49523809523809526,1680,1680
20,reversal,0.009579840657465897,1.8269985976665526,0.05570495570497697,0.1297091584233206,0.4294604666478331,1.1088621567876824,0.5178571428571429,1680,1680
20,momentum,-0.009579840657465897,-1.8269985976665526,-0.051326109654040206,0.13179171225937342,-0.38944868970992325,-1.0055521929658886,0.4797619047619048,1680,1680
60,reversal,0.0048429670027267165,0.9002916006003979,0.05134869959077902,0.12773850775481402,0.4019829297625709,1.0254848879138894,0.499390243902439,1640,1640
60,momentum,-0.0048429670027267165,-0.9002916006003979,-0.047360431691026404,0.12861187674969188,-0.368243065010245,-0.9394122742230422,0.5018292682926829,1640,1640
