date,rolling_gross_sharpe,rolling_net_sharpe
2019-01-02,,
2019-01-03,,
2019-01-04,,
2019-01-07,,
2019-01-08,,
2019-01-09,,
2019-01-10,,
2019-01-11,,
2019-01-14,,
2019-01-15,,
2019-01-16,,
2019-01-17,,
2019-01-18,,
2019-01-22,,
2019-01-23,,
2019-01-24,,
2019-01-25,,
2019-01-28,,
2019-01-29,,
2019-01-30,,
2019-01-31,,
2019-02-01,,
2019-02-04,,
2019-02-05,,
2019-02-06,,
2019-02-07,,
2019-02-08,,
2019-02-11,,
2019-02-12,,
2019-02-13,,
2019-02-14,,
2019-02-15,,
2019-02-19,,
2019-02-20,,
2019-02-21,,
2019-02-22,,
2019-02-25,,
2019-02-26,,
2019-02-27,,
2019-02-28,,
2019-03-01,,
2019-03-04,,
2019-03-05,,
2019-03-06,,
2019-03-07,,
2019-03-08,,
2019-03-11,,
2019-03-12,,
2019-03-13,,
2019-03-14,,
2019-03-15,,
2019-03-18,,
2019-03-19,,
2019-03-20,,
2019-03-21,,
2019-03-22,,
2019-03-25,,
2019-03-26,,
2019-03-27,,
2019-03-28,,
2019-03-29,,
2019-04-01,,
2019-04-02,,
2019-04-03,,
2019-04-04,,
2019-04-05,,
2019-04-08,,
2019-04-09,,
2019-04-10,,
2019-04-11,,
2019-04-12,,
2019-04-15,,
2019-04-16,,
2019-04-17,,
2019-04-18,,
2019-04-22,,
2019-04-23,,
2019-04-24,,
2019-04-25,,
2019-04-26,,
2019-04-29,,
2019-04-30,,
2019-05-01,,
2019-05-02,,
2019-05-03,,
2019-05-06,,
2019-05-07,,
2019-05-08,,
2019-05-09,,
2019-05-10,,
2019-05-13,,
2019-05-14,,
2019-05-15,,
2019-05-16,,
2019-05-17,,
2019-05-20,,
2019-05-21,,
2019-05-22,,
2019-05-23,,
2019-05-24,,
2019-05-28,,
2019-05-29,,
2019-05-30,,
2019-05-31,,
2019-06-03,,
2019-06-04,,
2019-06-05,,
2019-06-06,,
2019-06-07,,
2019-06-10,,
2019-06-11,,
2019-06-12,,
2019-06-13,,
2019-06-14,,
2019-06-17,,
2019-06-18,,
2019-06-19,,
2019-06-20,,
2019-06-21,,
2019-06-24,,
2019-06-25,,
2019-06-26,,
2019-06-27,,
2019-06-28,,
2019-07-01,,
2019-07-02,0.6373330226941598,-0.7274152521292055
2019-07-03,0.6147340540934751,-0.7544459162162954
2019-07-05,0.5499606095027572,-0.8280918718257054
2019-07-08,0.537643090458478,-0.8556085446467746
2019-07-09,0.720301371747027,-0.6677271601262339
2019-07-10,0.6592565243096745,-0.7316106346847929
2019-07-11,0.6344648026315107,-0.7722333183673982
2019-07-12,0.6990400578017413,-0.7153905267524608
2019-07-15,0.7054395571233796,-0.7136911266981629
2019-07-16,0.6677457787097321,-0.7547219256181743
2019-07-17,0.7370337476328792,-0.6852244292853326
2019-07-18,0.748071996420104,-0.6781439892864196
2019-07-19,0.6510076444043006,-0.7776844923671931
2019-07-22,0.7837597815975373,-0.6469359817624853
2019-07-23,0.7959689763294048,-0.6394298640286165
2019-07-24,0.8983844618115526,-0.536199317463554
2019-07-25,0.9139002224243814,-0.5254714540372659
2019-07-26,0.8809928370550101,-0.5614968322174891
2019-07-29,0.8743858929194174,-0.5744468054293435
2019-07-30,0.8645806329110786,-0.5833020823114641
2019-07-31,0.9428621530101159,-0.5054127763994146
2019-08-01,0.9047976510210197,-0.5513243000545976
2019-08-02,0.9800436412584966,-0.4838512342071496
2019-08-05,0.8894525321619701,-0.5786513022520033
2019-08-06,0.9120856199193869,-0.5604138321086489
2019-08-07,0.8098961525840773,-0.659498837612483
2019-08-08,0.6926581591735943,-0.7752263986825199
2019-08-09,0.6816815340471342,-0.7905065206933559
2019-08-12,0.7881643160880222,-0.6817401785751787
2019-08-13,0.7904847164693036,-0.6788282825260192
2019-08-14,0.6264865301194976,-0.8353069829653321
2019-08-15,0.7439235074103296,-0.7158617415426768
2019-08-16,0.7776325047566169,-0.6858066333418681
2019-08-19,0.8501831444941762,-0.6116888517259339
2019-08-20,0.884096976756844,-0.5804272505777547
2019-08-21,0.8838450465749726,-0.5803933045371609
2019-08-22,0.9389714902247742,-0.5248510259129425
2019-08-23,0.8822564944778202,-0.5836177390045488
2019-08-26,0.7927442601675573,-0.679399847134456
2019-08-27,0.8124717579253151,-0.6648785837434276
2019-08-28,0.7772328399969206,-0.7041113624239506
2019-08-29,0.8034669086399613,-0.6845945588331127
2019-08-30,0.8509915187167332,-0.6429688234438404
2019-09-03,0.8220817657627834,-0.6751401301713125
2019-09-04,0.8286342866589739,-0.673696376981878
2019-09-05,0.7604946374525424,-0.7391936840546232
2019-09-06,0.48520328652534017,-0.9900237373547104
2019-09-09,0.46210045826462304,-1.0173853032314073
2019-09-10,0.44102843972979255,-1.0435307949180412
2019-09-11,0.5768059942842096,-0.9039263397905448
2019-09-12,0.42092894508337664,-1.0474171160015908
2019-09-13,0.43689810623886904,-1.0342054670735634
2019-09-16,0.6259971128774353,-0.8251672739069899
2019-09-17,0.5927485284490007,-0.8606673333085711
2019-09-18,0.6899873330621552,-0.7584856690014059
2019-09-19,0.6759382920751198,-0.7736412201680671
2019-09-20,0.7090042330551573,-0.7461935078798672
2019-09-23,0.735961312105181,-0.7234179772136575
2019-09-24,0.8121839386264749,-0.6519389273737534
2019-09-25,0.7694980884054259,-0.7037952498180451
2019-09-26,0.800888480997887,-0.6750290127372915
2019-09-27,0.8605287496931346,-0.6174426454998426
2019-09-30,0.8604178933746436,-0.6215037910965979
2019-10-01,0.8600471206098922,-0.6246360433499373
2019-10-02,0.7509162857993872,-0.7288694847071366
2019-10-03,0.6820733485658055,-0.7992186442828163
2019-10-04,0.6881659008645803,-0.7971033079584946
2019-10-07,0.690253105511173,-0.7986898419399032
2019-10-08,0.7161213988839495,-0.7763167296904866
2019-10-09,0.6710625579455459,-0.8226373482623913
2019-10-10,0.8668182778481104,-0.6081128310387407
2019-10-11,0.8611422406963685,-0.6206917749911032
2019-10-14,0.7726131764811941,-0.7099409968624031
2019-10-15,0.7610278461022006,-0.7232824976308688
2019-10-16,0.7294346538378692,-0.7580157566427834
2019-10-17,0.7512715193126404,-0.7376945162334753
2019-10-18,0.718032694771271,-0.7720801471935468
2019-10-21,0.45202233662345603,-1.0031187604315854
2019-10-22,0.5300104134839889,-0.9264254482212506
2019-10-23,0.6920959026301173,-0.7527115184907673
2019-10-24,0.6313547745370404,-0.812864013169552
2019-10-25,0.642590575090475,-0.8032242161800573
2019-10-28,0.6391154459652773,-0.8071777916421341
2019-10-29,0.6611608969198248,-0.7848669239592588
2019-10-30,0.7210339559502157,-0.7267492537006959
2019-10-31,0.5113638105702852,-0.9173647628683793
2019-11-01,0.5856306802561877,-0.8455739115148523
2019-11-04,0.5873697359315478,-0.848766080980247
2019-11-05,0.6163604708598655,-0.8186569710257671
2019-11-06,0.5957300581523919,-0.840243455076366
2019-11-07,0.5624456666964475,-0.8734778901928778
2019-11-08,0.5751813599655906,-0.8625874429293692
2019-11-11,0.5961543224164058,-0.8445877943310803
2019-11-12,0.6356146244221127,-0.8052931570847753
2019-11-13,0.6335310528825365,-0.8096299353363117
2019-11-14,0.6587238672492937,-0.7852243517495738
2019-11-15,0.6160112639870042,-0.8300770368951003
2019-11-18,0.5060226492967753,-0.9395722351014466
2019-11-19,0.4958036278130342,-0.9562355732349795
2019-11-20,0.5864455160587208,-0.864395421671552
2019-11-21,0.6282995958633543,-0.8223754753465775
2019-11-22,0.5709271071379504,-0.8786401374037063
2019-11-25,0.6024024636152904,-0.8476699198642917
2019-11-26,0.5698030530007248,-0.8810375217418059
2019-11-27,0.5557371866401233,-0.8964165834371494
2019-11-29,0.5181478737638403,-0.9346583287180091
2019-12-02,0.4676018816647994,-0.9868035459650194
2019-12-03,0.46014362766429706,-0.9983610310352288
2019-12-04,0.44172930057607085,-1.0204945956966478
2019-12-05,0.46546525832068525,-0.9993011831973921
2019-12-06,0.48424609278013747,-0.980057833475597
2019-12-09,0.48533178851086267,-0.9824215488225269
2019-12-10,0.4907335034343495,-0.9779915239216574
2019-12-11,0.48552371906235153,-0.9836600443423983
2019-12-12,0.4978951530486352,-0.9752602345734874
2019-12-13,0.4817470325082904,-0.996976654285185
2019-12-16,0.4875112904431996,-0.9971309357481343
2019-12-17,0.48338884736694365,-1.0058937006469573
2019-12-18,0.5337619667735339,-0.9578241968780242
2019-12-19,0.5433038436159096,-0.956321570398247
2019-12-20,0.5497616139259143,-0.957049678227075
2019-12-23,0.5172697484977444,-0.9910914874236161
2019-12-24,0.5474956743165116,-0.9639097994587162
2019-12-26,0.5598574923004478,-0.9539017208990237
2019-12-27,0.574890882090782,-0.9407925680837566
2019-12-30,0.5768154228773098,-0.9434793699232544
2019-12-31,0.5881945445197119,-0.9373890217855275
2020-01-02,0.6089197357399689,-0.9217398269245821
2020-01-03,0.5449431558358306,-0.9872548442809662
2020-01-06,0.659727575970266,-0.8844420977913632
2020-01-07,0.6353298231975363,-0.9057279599608162
2020-01-08,0.5478804432323141,-0.9957936293692382
2020-01-09,0.5200635241176244,-1.0227829464249947
2020-01-10,0.48486254153177594,-1.0511306916239727
2020-01-13,0.6756551520853833,-0.8522152778919044
2020-01-14,0.5266374666044622,-1.0017723851662625
2020-01-15,0.9385063045486768,-0.680732872995116
2020-01-16,0.840381932395084,-0.7767715662101935
2020-01-17,0.6921523174032161,-0.9200572089021847
2020-01-21,0.6168541848899651,-0.9935895977423085
2020-01-22,0.6120710393150338,-0.9968079969566841
2020-01-23,0.6569928117436696,-0.952840898738296
2020-01-24,0.6521802276543791,-0.9543964181932327
2020-01-27,0.6396455337542157,-0.9700678557344969
2020-01-28,0.6128875338250254,-0.9975652594517862
2020-01-29,0.4521269091434966,-1.1531914375379617
2020-01-30,0.3718806571137854,-1.2382870017835137
2020-01-31,0.33652721103326894,-1.271357317095268
2020-02-03,0.3673348317670879,-1.2379732774280785
2020-02-04,0.41658801483262453,-1.1689051892759665
2020-02-05,0.36982059049724625,-1.2067837344298618
2020-02-06,0.24742380505826514,-1.3241244288759413
2020-02-07,0.25569538379970697,-1.3138437434582564
2020-02-10,0.3214797812798841,-1.2410340299075344
2020-02-11,0.23995876868269758,-1.3220098716859148
2020-02-12,0.3148315873922801,-1.2449013482532942
2020-02-13,0.1936353530941529,-1.376462224184337
2020-02-14,-0.07525005342556364,-1.6314080300862674
2020-02-18,-0.17524525350187403,-1.7269499864117823
2020-02-19,-0.0933561952547346,-1.6377758208379234
2020-02-20,0.040615520465537756,-1.4893199806538762
2020-02-21,0.1625649781842304,-1.3685538019187986
2020-02-24,0.22570384070033295,-1.3015483304360829
2020-02-25,0.20924558095372459,-1.3216647065339029
2020-02-26,0.25319788107645913,-1.2832143744315871
2020-02-27,0.15057160435578287,-1.3855676364099039
2020-02-28,0.12692388839535917,-1.4085564519483367
2020-03-02,0.08489550082233079,-1.4526261076242482
2020-03-03,0.05362929314680485,-1.4830233423736954
2020-03-04,0.08589485787201113,-1.447096315129067
2020-03-05,-0.07957795533871286,-1.5836391488583659
2020-03-06,-0.35862813105936386,-1.788337304968748
2020-03-09,-0.20098074166627217,-1.6096757914998499
2020-03-10,-0.3027441074540928,-1.7032045209814892
2020-03-11,-0.3830046550400121,-1.7814976378973981
2020-03-12,-0.37464679729792294,-1.771750339728778
2020-03-13,-0.28383529094350324,-1.6804923965799476
2020-03-16,-0.4156575636254744,-1.814794121484368
2020-03-17,-0.8916606433721602,-2.1670999832648103
2020-03-18,-0.6054686925807895,-1.8164179870579311
2020-03-19,-0.3630741968426215,-1.560904248455535
2020-03-20,-0.6369134313929671,-1.7696714829984421
2020-03-23,0.03526312284887785,-0.9004970497314155
2020-03-24,0.39296385027548597,-0.4824121113556273
2020-03-25,0.4588126973946326,-0.4166309350322519
2020-03-26,0.46478691381353593,-0.4100375717302642
2020-03-27,0.4324331188551648,-0.44014178192092096
2020-03-30,0.38968890482980484,-0.48712881250620943
2020-03-31,0.3511807589488611,-0.5260721592965213
