test_year,training_start,training_end,test_start,test_end,selected_horizon,selected_direction,train_mean_ic,train_ic_t_stat,train_spread_sharpe,test_mean_ic,test_ic_t_stat,test_annualised_spread_return,test_spread_sharpe,test_spread_t_stat,test_positive_spread_day_pct,test_observations
2016,2012-01-01,2015-12-31,2016-01-01,2016-12-31,2,reversal,0.02271069463902327,3.6786713754564597,0.7396446364816212,0.0035107076086567314,0.24376626390202052,-0.04132505838376803,-0.282542233700737,-0.282542233700737,0.48412698412698413,252
2017,2013-01-01,2016-12-31,2017-01-01,2017-12-31,10,reversal,0.025409661046068392,4.0315159142060235,1.1188092976537802,0.0037328916704694745,0.26050545306712547,-0.05808802020680326,-0.48727964771724114,-0.4863118619600921,0.46215139442231074,251
2018,2014-01-01,2017-12-31,2018-01-01,2018-12-31,10,reversal,0.016878820251301056,2.5351325376212466,0.3695810459594765,0.004129231754130022,0.27245485823897964,0.11369922451818813,0.7301154016573338,0.7286653199842958,0.50199203187251,251
2019,2015-01-01,2018-12-31,2019-01-01,2019-12-31,1,reversal,0.01775492888912965,2.6476547455768977,0.5430758825717331,0.01814250913015064,1.3281765943275745,0.0584202329758441,0.4546912496135715,0.4546912496135715,0.5317460317460317,252
2020,2016-01-01,2019-12-31,2020-01-01,2020-12-31,1,reversal,0.016816783096347012,2.404791411698123,0.5578054164422465,0.006839059834538657,0.37713577162596007,0.08774703617432342,0.2958065799388777,0.29639291664889733,0.541501976284585,253
2021,2017-01-01,2020-12-31,2021-01-01,2021-12-31,1,reversal,0.01435514527010249,1.885935805914387,0.3447991738966717,0.009802397149335926,0.5591254045354608,-0.07307296744145114,-0.4257487914723938,-0.4257487914723938,0.5079365079365079,252
2022,2018-01-01,2021-12-31,2022-01-01,2022-12-31,1,reversal,0.016793121646526493,2.0804624500695024,0.432307229726061,-0.03853667958349425,-2.3974392871508012,-0.3800397362613207,-1.9451489709804306,-1.941285712011034,0.46215139442231074,251
2023,2019-01-01,2022-12-31,2023-01-01,2023-12-31,60,momentum,0.008719519909388546,0.9838978557329999,0.0713127670759871,0.013262520796258044,0.7903643583163302,-0.024670282750084333,-0.14299178391437212,-0.14242322586184925,0.488,250
2024,2020-01-01,2023-12-31,2024-01-01,2024-12-31,10,momentum,0.016184414087782567,1.8510303141220728,0.3600277636644209,-0.019427741076484747,-1.3699829231660727,-0.08408619984936376,-0.5154825518123084,-0.5154825518123084,0.4603174603174603,252
2025,2021-01-01,2024-12-31,2025-01-01,2025-12-31,10,momentum,0.010288243811730022,1.2637045917384224,0.800945133299087,-0.002640878411895152,-0.18492158856114707,-0.08511290315798593,-0.5131279450984959,-0.5110876668589087,0.468,250
2026,2022-01-01,2025-12-31,2026-01-01,2026-09-18,60,momentum,0.014376883573680074,1.832722095272168,0.29519461526289237,0.004512726438890159,0.22743803224696219,0.049280166235113707,0.17661813213687677,0.14843797404220954,0.5337078651685393,178
