date,spread_return,test_year,selected_horizon,selected_direction
2016-01-04,-0.005018860271636139,2016,2,reversal
2016-01-05,0.005907133813813226,2016,2,reversal
2016-01-06,-0.022365629232770804,2016,2,reversal
2016-01-07,0.0022959382295662974,2016,2,reversal
2016-01-08,0.012436026100286246,2016,2,reversal
2016-01-11,0.002305896731231827,2016,2,reversal
2016-01-12,-0.0004946506207630583,2016,2,reversal
2016-01-13,-0.009863437269322796,2016,2,reversal
2016-01-14,-0.009651250401399504,2016,2,reversal
2016-01-15,0.0035544303124720347,2016,2,reversal
2016-01-19,-0.012220217726107561,2016,2,reversal
2016-01-20,0.014730663591016224,2016,2,reversal
2016-01-21,0.020867266500456505,2016,2,reversal
2016-01-22,-0.008159154862307528,2016,2,reversal
2016-01-25,0.006502547688274241,2016,2,reversal
2016-01-26,-0.011522283109394005,2016,2,reversal
2016-01-27,0.018065939049794987,2016,2,reversal
2016-01-28,0.03159840156701428,2016,2,reversal
2016-01-29,-0.007683172579944053,2016,2,reversal
2016-02-01,-0.004493326549707452,2016,2,reversal
2016-02-02,0.024509707839297144,2016,2,reversal
2016-02-03,0.015984392809775982,2016,2,reversal
2016-02-04,-0.0016363773473433638,2016,2,reversal
2016-02-05,0.003457325390826216,2016,2,reversal
2016-02-08,0.008381652736820266,2016,2,reversal
2016-02-09,0.0018341910869339895,2016,2,reversal
2016-02-10,0.0005314566571671953,2016,2,reversal
2016-02-11,0.025034525472961255,2016,2,reversal
2016-02-12,-0.00015289315500603695,2016,2,reversal
2016-02-16,0.00023069813111029763,2016,2,reversal
2016-02-17,-0.0011191408022174438,2016,2,reversal
2016-02-18,-0.003618296842923396,2016,2,reversal
2016-02-19,0.004471967217378315,2016,2,reversal
2016-02-22,-0.008076523035024152,2016,2,reversal
2016-02-23,-0.01217043542886872,2016,2,reversal
2016-02-24,0.005014731442282171,2016,2,reversal
2016-02-25,0.016931021445917405,2016,2,reversal
2016-02-26,0.0035847688653769753,2016,2,reversal
2016-02-29,-0.020347900762839696,2016,2,reversal
2016-03-01,0.00041095159682598154,2016,2,reversal
2016-03-02,-0.010855208228774537,2016,2,reversal
2016-03-03,-0.0013855397688648853,2016,2,reversal
2016-03-04,-0.004927480714279552,2016,2,reversal
2016-03-07,0.012982939235073565,2016,2,reversal
2016-03-08,-0.0021136573326732354,2016,2,reversal
2016-03-09,-7.63498981169342e-05,2016,2,reversal
2016-03-10,0.006003911187298915,2016,2,reversal
2016-03-11,-0.006579448488153039,2016,2,reversal
2016-03-14,0.012013423158320867,2016,2,reversal
2016-03-15,-0.005312001254485465,2016,2,reversal
2016-03-16,-0.0026168263578990386,2016,2,reversal
2016-03-17,-0.001002163188186923,2016,2,reversal
2016-03-18,0.011566840843612492,2016,2,reversal
2016-03-21,0.0032323243542991984,2016,2,reversal
2016-03-22,-0.0038088236435263817,2016,2,reversal
2016-03-23,0.0053991087704727825,2016,2,reversal
2016-03-24,0.0002532044088504493,2016,2,reversal
2016-03-28,-0.004132883718046077,2016,2,reversal
2016-03-29,0.005124317706676906,2016,2,reversal
2016-03-30,1.7862135103874268e-05,2016,2,reversal
